x,x_numeric,y,series
0.006094576103788332,0.006094576103788332,0.009208103130755065,isotonic
0.13353313353313354,0.13353313353313354,0.07142857142857142,isotonic
0.21428571428571427,0.21428571428571427,0.6666666666666666,isotonic
0.357684130185902,0.357684130185902,0.5294117647058824,isotonic
0.5652173913043478,0.5652173913043478,0.9,isotonic
0.6555833829660512,0.6555833829660512,0.9,isotonic
0.75,0.75,1.0,isotonic
0.8955223880597016,0.8955223880597016,0.9444444444444444,isotonic
0.9744976691596912,0.9744976691596912,0.9831932773109243,isotonic
0.035213750631500514,0.035213750631500514,0.01056338028169014,platt
0.13812706849180703,0.13812706849180703,0.5,platt
0.24905926588211852,0.24905926588211852,0.8333333333333334,platt
0.35555636482428865,0.35555636482428865,0.9230769230769231,platt
0.45695608625038125,0.45695608625038125,0.9,platt
0.5478882412255818,0.5478882412255818,0.875,platt
0.6534501469893632,0.6534501469893632,1.0,platt
0.7376002038718092,0.7376002038718092,1.0,platt
0.8551325923715936,0.8551325923715936,1.0,platt
0.9921800894116024,0.9921800894116024,0.9781021897810219,platt
0.27732998357541583,0.27732998357541583,0.2746566791510612,uncalibrated
