ablation,metrics,source
foundation_without_orientation,"{""accuracy"": 0.8039950062421972, ""auprc"": 0.8562584288155036, ""auroc"": 0.9211156313565952, ""balanced_accuracy"": 0.6460061023314035, ""brier"": 0.13018114194582203, ""confusion_matrix"": {""fn"": 155, ""fp"": 2, ""tn"": 579, ""tp"": 65}, ""coverage"": 1.0, ""ece"": 0.10498943305618039, ""f1"": 0.45296167247386754, ""max_calibration_gap"": 0.5152912592653749, ""mcc"": 0.47077671970323304, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.4094427877620044, ""precision"": 0.9701492537313433, ""recall"": 0.29545454545454547, ""sensitivity"": 0.29545454545454547, ""specificity"": 0.9965576592082617}","{""derived_from"": ""foundation_fusion"", ""indices"": [0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 38, 39], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/foundation_fusion.jsonl"", ""feature_artifact_sha256"": ""8fb5e217da8f48c298951b3673f7e12e47d00662f79a9ff38edb778004acc1f7"", ""layer"": ""foundation_fusion"", ""locked_test_evaluated"": false, ""model_id"": ""formal_fusion"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/foundation_fusion.jsonl"", ""sha256"": ""8fb5e217da8f48c298951b3673f7e12e47d00662f79a9ff38edb778004acc1f7""}}"
nt16_aggregate,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.9040992265518326, ""auroc"": 0.9484274761383195, ""balanced_accuracy"": 0.5, ""brier"": 0.20293646626248155, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.08956972856016315, ""f1"": 0.0, ""max_calibration_gap"": 0.7916255719071309, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.5979129927556022, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""nt16"", ""indices"": [2], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_16_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""2111aefc86991cc6f345600a2a1a67e97eeb0450833ecad2e04d7a56558fc77b"", ""layer"": ""16:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""nucleotide_transformer"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_16_scalar_summary.jsonl"", ""sha256"": ""2111aefc86991cc6f345600a2a1a67e97eeb0450833ecad2e04d7a56558fc77b""}}"
nt16_forward,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.8933354685738524, ""auroc"": 0.9435143170082929, ""balanced_accuracy"": 0.5, ""brier"": 0.20119153246097696, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.08828137655623389, ""f1"": 0.0, ""max_calibration_gap"": 0.771417711857958, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.5925740450921202, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""nt16"", ""indices"": [0], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_16_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""2111aefc86991cc6f345600a2a1a67e97eeb0450833ecad2e04d7a56558fc77b"", ""layer"": ""16:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""nucleotide_transformer"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_16_scalar_summary.jsonl"", ""sha256"": ""2111aefc86991cc6f345600a2a1a67e97eeb0450833ecad2e04d7a56558fc77b""}}"
nt16_reverse,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.8741879779557684, ""auroc"": 0.9355186981693006, ""balanced_accuracy"": 0.5, ""brier"": 0.20211921614871542, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.08885226206503322, ""f1"": 0.0, ""max_calibration_gap"": 0.7322503572095795, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.5954288589255778, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""nt16"", ""indices"": [1], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_16_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""2111aefc86991cc6f345600a2a1a67e97eeb0450833ecad2e04d7a56558fc77b"", ""layer"": ""16:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""nucleotide_transformer"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_16_scalar_summary.jsonl"", ""sha256"": ""2111aefc86991cc6f345600a2a1a67e97eeb0450833ecad2e04d7a56558fc77b""}}"
nt24_aggregate,"{""accuracy"": 0.7340823970037453, ""auprc"": 0.8393238793132838, ""auroc"": 0.9123924268502581, ""balanced_accuracy"": 0.5159090909090909, ""brier"": 0.1786940368869278, ""confusion_matrix"": {""fn"": 213, ""fp"": 0, ""tn"": 581, ""tp"": 7}, ""coverage"": 1.0, ""ece"": 0.19366779786586252, ""f1"": 0.06167400881057269, ""max_calibration_gap"": 0.6324188190462118, ""mcc"": 0.1525862832935008, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.5328349292867244, ""precision"": 1.0, ""recall"": 0.031818181818181815, ""sensitivity"": 0.031818181818181815, ""specificity"": 1.0}","{""derived_from"": ""nt24"", ""indices"": [2], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_24_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""000858fc5fc3b0008245a0867a1dc7cdb6d6efb675f5c1088d8e189822f22c5a"", ""layer"": ""24:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""nucleotide_transformer"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_24_scalar_summary.jsonl"", ""sha256"": ""000858fc5fc3b0008245a0867a1dc7cdb6d6efb675f5c1088d8e189822f22c5a""}}"
nt24_forward,"{""accuracy"": 0.7390761548064919, ""auprc"": 0.8320750670345951, ""auroc"": 0.9098889062744484, ""balanced_accuracy"": 0.525, ""brier"": 0.17020729072145663, ""confusion_matrix"": {""fn"": 209, ""fp"": 0, ""tn"": 581, ""tp"": 11}, ""coverage"": 1.0, ""ece"": 0.193293216456592, ""f1"": 0.09523809523809523, ""max_calibration_gap"": 0.6034776818653997, ""mcc"": 0.19176066306397196, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.5120045529848701, ""precision"": 1.0, ""recall"": 0.05, ""sensitivity"": 0.05, ""specificity"": 1.0}","{""derived_from"": ""nt24"", ""indices"": [0], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_24_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""000858fc5fc3b0008245a0867a1dc7cdb6d6efb675f5c1088d8e189822f22c5a"", ""layer"": ""24:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""nucleotide_transformer"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_24_scalar_summary.jsonl"", ""sha256"": ""000858fc5fc3b0008245a0867a1dc7cdb6d6efb675f5c1088d8e189822f22c5a""}}"
nt24_reverse,"{""accuracy"": 0.7340823970037453, ""auprc"": 0.803056330587052, ""auroc"": 0.905539039273979, ""balanced_accuracy"": 0.5187333750586763, ""brier"": 0.1760037391681575, ""confusion_matrix"": {""fn"": 211, ""fp"": 2, ""tn"": 579, ""tp"": 9}, ""coverage"": 1.0, ""ece"": 0.1832629811552395, ""f1"": 0.07792207792207792, ""max_calibration_gap"": 0.5987616994641862, ""mcc"": 0.1436929769071134, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.526276036613219, ""precision"": 0.8181818181818182, ""recall"": 0.04090909090909091, ""sensitivity"": 0.04090909090909091, ""specificity"": 0.9965576592082617}","{""derived_from"": ""nt24"", ""indices"": [1], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_24_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""000858fc5fc3b0008245a0867a1dc7cdb6d6efb675f5c1088d8e189822f22c5a"", ""layer"": ""24:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""nucleotide_transformer"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_24_scalar_summary.jsonl"", ""sha256"": ""000858fc5fc3b0008245a0867a1dc7cdb6d6efb675f5c1088d8e189822f22c5a""}}"
nt8_aggregate,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.831096700566048, ""auroc"": 0.8814974182444062, ""balanced_accuracy"": 0.5, ""brier"": 0.20721724429569785, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09228060216737413, ""f1"": 0.0, ""max_calibration_gap"": 0.09228060216737413, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6116969766396124, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""nt8"", ""indices"": [2], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_8_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""152aa64dbec6fd811036033720c8d0baa09808064525098cad7847da7b64f03c"", ""layer"": ""8:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""nucleotide_transformer"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_8_scalar_summary.jsonl"", ""sha256"": ""152aa64dbec6fd811036033720c8d0baa09808064525098cad7847da7b64f03c""}}"
nt8_forward,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.800661520314732, ""auroc"": 0.8649350649350649, ""balanced_accuracy"": 0.5, ""brier"": 0.20683738442563146, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.0919194594618078, ""f1"": 0.0, ""max_calibration_gap"": 0.0919194594618078, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6104405037843535, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""nt8"", ""indices"": [0], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_8_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""152aa64dbec6fd811036033720c8d0baa09808064525098cad7847da7b64f03c"", ""layer"": ""8:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""nucleotide_transformer"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_8_scalar_summary.jsonl"", ""sha256"": ""152aa64dbec6fd811036033720c8d0baa09808064525098cad7847da7b64f03c""}}"
nt8_reverse,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.7926262329705912, ""auroc"": 0.8638475981849476, ""balanced_accuracy"": 0.5, ""brier"": 0.20708654783740865, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09210756785812116, ""f1"": 0.0, ""max_calibration_gap"": 0.09210756785812116, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6112662251438209, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""nt8"", ""indices"": [1], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_8_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""152aa64dbec6fd811036033720c8d0baa09808064525098cad7847da7b64f03c"", ""layer"": ""8:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""nucleotide_transformer"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/nucleotide_transformer/nucleotide_transformer_layer_8_scalar_summary.jsonl"", ""sha256"": ""152aa64dbec6fd811036033720c8d0baa09808064525098cad7847da7b64f03c""}}"
