ablation,metrics,source
cad8_aggregate,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.24263283895765914, ""auroc"": 0.44560319198873416, ""balanced_accuracy"": 0.5, ""brier"": 0.20785316166256257, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09291073583744541, ""f1"": 0.0, ""max_calibration_gap"": 0.09291073583744541, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6138219465979692, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""cad8"", ""indices"": [2], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_8_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""3503eb125817421031eb22278722f8338de01adc5df8e64be75be7b248c869f6"", ""layer"": ""8:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""caduceus"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_8_scalar_summary.jsonl"", ""sha256"": ""3503eb125817421031eb22278722f8338de01adc5df8e64be75be7b248c869f6""}}"
cad8_forward,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.23006869242920389, ""auroc"": 0.4294633077765608, ""balanced_accuracy"": 0.5, ""brier"": 0.20785348382739832, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09291086157587847, ""f1"": 0.0, ""max_calibration_gap"": 0.09291086157587847, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6138230298647219, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""cad8"", ""indices"": [0], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_8_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""3503eb125817421031eb22278722f8338de01adc5df8e64be75be7b248c869f6"", ""layer"": ""8:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""caduceus"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_8_scalar_summary.jsonl"", ""sha256"": ""3503eb125817421031eb22278722f8338de01adc5df8e64be75be7b248c869f6""}}"
cad8_reverse,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.24825386496603866, ""auroc"": 0.45712721013925833, ""balanced_accuracy"": 0.5, ""brier"": 0.20785332645449925, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09291181301938037, ""f1"": 0.0, ""max_calibration_gap"": 0.09291181301938037, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6138225006634571, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""cad8"", ""indices"": [1], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_8_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""3503eb125817421031eb22278722f8338de01adc5df8e64be75be7b248c869f6"", ""layer"": ""8:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""caduceus"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_8_scalar_summary.jsonl"", ""sha256"": ""3503eb125817421031eb22278722f8338de01adc5df8e64be75be7b248c869f6""}}"
evo2_aggregate,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.9740885506489425, ""auroc"": 0.9886402753872633, ""balanced_accuracy"": 0.5, ""brier"": 0.2078492399883032, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09290791473081902, ""f1"": 0.0, ""max_calibration_gap"": 0.09290791473081902, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6138087616327874, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""evo2"", ""indices"": [0], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase13_formal_evo2_20260922/combined_evo2_features_v2.jsonl"", ""feature_artifact_sha256"": ""1a1c8a3bac1fde7e8d60d5fb16345cb14b434a48eb9ec0e18dbc9e56d3ac865c"", ""layer"": ""phase13_combined_evo2"", ""locked_test_evaluated"": false, ""model_id"": ""evo2"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase13_formal_evo2_20260922/combined_evo2_features_v2.jsonl"", ""sha256"": ""1a1c8a3bac1fde7e8d60d5fb16345cb14b434a48eb9ec0e18dbc9e56d3ac865c""}}"
evo2_forward,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.9599197163911813, ""auroc"": 0.9776326083554999, ""balanced_accuracy"": 0.5, ""brier"": 0.20784936235816343, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09290801970630466, ""f1"": 0.0, ""max_calibration_gap"": 0.09290801970630466, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6138091731104026, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""evo2"", ""indices"": [1], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase13_formal_evo2_20260922/combined_evo2_features_v2.jsonl"", ""feature_artifact_sha256"": ""1a1c8a3bac1fde7e8d60d5fb16345cb14b434a48eb9ec0e18dbc9e56d3ac865c"", ""layer"": ""phase13_combined_evo2"", ""locked_test_evaluated"": false, ""model_id"": ""evo2"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase13_formal_evo2_20260922/combined_evo2_features_v2.jsonl"", ""sha256"": ""1a1c8a3bac1fde7e8d60d5fb16345cb14b434a48eb9ec0e18dbc9e56d3ac865c""}}"
evo2_reverse,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.9612880313223894, ""auroc"": 0.9866609294320138, ""balanced_accuracy"": 0.5, ""brier"": 0.2078491169632342, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09290780913087915, ""f1"": 0.0, ""max_calibration_gap"": 0.09290780913087915, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6138083481060012, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""evo2"", ""indices"": [2], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase13_formal_evo2_20260922/combined_evo2_features_v2.jsonl"", ""feature_artifact_sha256"": ""1a1c8a3bac1fde7e8d60d5fb16345cb14b434a48eb9ec0e18dbc9e56d3ac865c"", ""layer"": ""phase13_combined_evo2"", ""locked_test_evaluated"": false, ""model_id"": ""evo2"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase13_formal_evo2_20260922/combined_evo2_features_v2.jsonl"", ""sha256"": ""1a1c8a3bac1fde7e8d60d5fb16345cb14b434a48eb9ec0e18dbc9e56d3ac865c""}}"
evo2_without_orientation,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.9740512906186709, ""auroc"": 0.9886637458926616, ""balanced_accuracy"": 0.5, ""brier"": 0.20784262906412265, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.0929049361131401, ""f1"": 0.0, ""max_calibration_gap"": 0.0929049361131401, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.613786537128235, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""evo2"", ""indices"": [0, 1, 2], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase13_formal_evo2_20260922/combined_evo2_features_v2.jsonl"", ""feature_artifact_sha256"": ""1a1c8a3bac1fde7e8d60d5fb16345cb14b434a48eb9ec0e18dbc9e56d3ac865c"", ""layer"": ""phase13_combined_evo2"", ""locked_test_evaluated"": false, ""model_id"": ""evo2"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase13_formal_evo2_20260922/combined_evo2_features_v2.jsonl"", ""sha256"": ""1a1c8a3bac1fde7e8d60d5fb16345cb14b434a48eb9ec0e18dbc9e56d3ac865c""}}"
foundation_without_caduceus,"{""accuracy"": 0.8139825218476904, ""auprc"": 0.8468278712554218, ""auroc"": 0.9192849319355344, ""balanced_accuracy"": 0.6656000625880144, ""brier"": 0.12560135400812394, ""confusion_matrix"": {""fn"": 146, ""fp"": 3, ""tn"": 578, ""tp"": 74}, ""coverage"": 1.0, ""ece"": 0.09953333264682485, ""f1"": 0.4983164983164983, ""max_calibration_gap"": 0.46623235378461797, ""mcc"": 0.5015049837002835, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.3988782992650532, ""precision"": 0.961038961038961, ""recall"": 0.33636363636363636, ""sensitivity"": 0.33636363636363636, ""specificity"": 0.9948364888123924}","{""derived_from"": ""foundation_fusion"", ""indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/foundation_fusion.jsonl"", ""feature_artifact_sha256"": ""8fb5e217da8f48c298951b3673f7e12e47d00662f79a9ff38edb778004acc1f7"", ""layer"": ""foundation_fusion"", ""locked_test_evaluated"": false, ""model_id"": ""formal_fusion"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/foundation_fusion.jsonl"", ""sha256"": ""8fb5e217da8f48c298951b3673f7e12e47d00662f79a9ff38edb778004acc1f7""}}"
foundation_without_evo2,"{""accuracy"": 0.8202247191011236, ""auprc"": 0.8466798053055028, ""auroc"": 0.9193318729463308, ""balanced_accuracy"": 0.6769636989516508, ""brier"": 0.12389379767569599, ""confusion_matrix"": {""fn"": 141, ""fp"": 3, ""tn"": 578, ""tp"": 79}, ""coverage"": 1.0, ""ece"": 0.0931863149277066, ""f1"": 0.5231788079470199, ""max_calibration_gap"": 0.4308745339621123, ""mcc"": 0.5211253722604055, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.3939494840628788, ""precision"": 0.9634146341463414, ""recall"": 0.35909090909090907, ""sensitivity"": 0.35909090909090907, ""specificity"": 0.9948364888123924}","{""derived_from"": ""foundation_fusion"", ""indices"": [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/foundation_fusion.jsonl"", ""feature_artifact_sha256"": ""8fb5e217da8f48c298951b3673f7e12e47d00662f79a9ff38edb778004acc1f7"", ""layer"": ""foundation_fusion"", ""locked_test_evaluated"": false, ""model_id"": ""formal_fusion"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/foundation_fusion.jsonl"", ""sha256"": ""8fb5e217da8f48c298951b3673f7e12e47d00662f79a9ff38edb778004acc1f7""}}"
foundation_without_nt,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.9604934249291879, ""auroc"": 0.982170239399155, ""balanced_accuracy"": 0.5, ""brier"": 0.20950702485854567, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.10147141975769078, ""f1"": 0.0, ""max_calibration_gap"": 0.10147141975769078, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6194888404087259, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""foundation_fusion"", ""indices"": [0, 1, 2, 3, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/foundation_fusion.jsonl"", ""feature_artifact_sha256"": ""8fb5e217da8f48c298951b3673f7e12e47d00662f79a9ff38edb778004acc1f7"", ""layer"": ""foundation_fusion"", ""locked_test_evaluated"": false, ""model_id"": ""formal_fusion"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/foundation_fusion.jsonl"", ""sha256"": ""8fb5e217da8f48c298951b3673f7e12e47d00662f79a9ff38edb778004acc1f7""}}"
