metric,value
AUROC,0.9092259737895887
AUPRC,0.8630391000187404
Brier,0.11407921672922404
ECE,0.05523106003405314
NLL,0.5517579434827143
accuracy,0.8435517970401691
abstention_coverage,0.5
abstention_signed_delta_risk,0.7906976744186046
